elo_diff,kd_diff,wr_diff,hs_diff,level_diff,elo_total,experience_ratio,map,team1_win,score_diff
-27.199999999999818,-0.112,-4.2,-3.6000000000000014,0.1999999999999993,5732.893582885493,1.299079356846473,de_nuke,1,2.0
-24.59999999999991,-0.008,-2.0,-1.4000000000000057,0.1999999999999993,5708.2656796210595,0.35671425615559693,de_dust2,0,-2.0
-141.60000000000036,0.0,-1.0,-1.6000000000000014,0.0,5548.68015664356,1.270749114138843,de_nuke,0,-5.0
43.0,0.048,-0.4,1.0,0.0,5513.5567938973645,1.0304263981144204,de_anubis,0,-6.0
-86.80000000000018,-0.018,0.0,-4.200000000000003,0.0,5474.962034654677,0.5816636727925936,de_dust2,0,-2.0
17.199999999999818,0.028,0.4,-0.19999999999999574,0.0,5293.673258815465,1.035059331175836,de_anubis,1,7.0
16.0,-0.112,-1.0,-1.2000000000000028,-0.1999999999999993,4029.900958729756,1.3528792504474154,de_nuke,0,-3.0
25.600000000000136,0.022,1.0,-3.0,-0.1999999999999993,3806.477483361182,1.351439943807071,de_ancient,0,-7.0
-51.80000000000018,-0.004,1.2,2.799999999999997,-0.20000000000000107,4207.600129121131,0.8053714930212886,de_inferno,0,-7.0
6.400000000000091,-0.02,0.4,-3.8000000000000043,0.0,5818.120929875791,1.3355096882898063,de_nuke,0,-7.0
40.0,0.032,0.6,4.199999999999996,0.1999999999999993,4347.33116337623,1.4703599913774519,de_inferno,1,5.0
-49.80000000000018,0.018,0.8,-4.399999999999999,0.0,5295.081884927116,0.9126078485944893,de_anubis,1,2.0
75.0,-0.042,-1.4,-2.0,0.0,5593.628782378542,4.506276934607457,de_mirage,0,-4.0
110.20000000000027,-0.072,-0.8,-0.6000000000000014,0.0,5052.747791716243,2.014549121290694,de_mirage,0,-8.0
-9.400000000000091,-0.09,-1.8,-3.0,0.0,5247.247561233806,1.6621131528046422,de_dust2,0,-4.0
70.20000000000027,-0.018,-1.2,4.0,0.0,5562.567321373195,0.7319405756731662,de_mirage,0,-2.0
-17.0,-0.126,-5.0,-2.0,0.0,5489.755453887934,0.8689557752906661,de_mirage,1,5.0
5.599999999999909,0.016,0.0,1.1999999999999957,0.0,5965.205835000324,1.0540238152321586,de_anubis,1,2.0
88.39999999999964,0.066,-1.4,1.7999999999999972,0.0,5820.454184489174,1.065482438433589,de_mirage,0,-3.0
48.20000000000027,-0.088,-0.8,1.8000000000000043,0.0,5109.492376819715,1.2328928185110284,de_ancient,0,-5.0
69.80000000000018,-0.042,0.0,-5.399999999999999,0.0,5256.112031641588,2.366888384166126,de_nuke,0,-4.0
10.400000000000091,-0.012,0.8,-10.200000000000003,0.0,5549.096233451717,1.1210931677018632,de_mirage,0,-3.0
-30.799999999999727,-0.032,-1.8,-7.399999999999999,0.0,7053.179098535913,0.8540933554129579,de_ancient,0,-3.0
-16.799999999999727,-0.006,-1.0,5.0,0.0,5157.184168207552,1.034902888267756,de_nuke,0,-4.0
56.40000000000009,0.012,0.4,1.0,0.0,5560.846060356356,0.5600188399946171,de_dust2,0,-2.0
26.199999999999818,0.07,-1.2,-0.6000000000000014,0.1999999999999993,5204.763352211707,1.1711881188118813,de_overpass,1,8.0
-58.0,0.056,-4.2,-1.4000000000000057,0.0,5518.129811503577,0.9336601125160141,de_ancient,0,-3.0
-1.199999999999818,0.092,1.2,4.799999999999997,0.0,5611.027306804726,0.5405094258166643,de_nuke,1,6.0
53.19999999999982,0.038,-1.2,0.0,0.0,5374.796815578219,1.209057577403585,de_mirage,1,5.0
-234.4000000000001,-0.054,-1.8,-3.6000000000000014,0.0,5855.39824056438,1.3891559829059827,de_mirage,0,-5.0
-10.400000000000091,-0.05,0.4,-1.5999999999999943,0.0,6250.903766548283,0.6770895080023711,de_anubis,0,-6.0
12.399999999999636,0.006,-1.2,-0.7999999999999972,0.0,6633.783746144049,1.1414037575327898,de_ancient,0,-2.0
18.199999999999818,0.062,3.4,7.0,0.0,5234.816797428144,0.7114904246461283,de_mirage,0,-8.0
-54.19999999999982,-0.078,0.2,-6.800000000000004,0.0,4955.262656842482,1.5393994357114067,de_inferno,0,-3.0
