match_id,map,player_elo,player_kd,player_hs_pct,player_wr,player_matches,player_level,team_avg_elo,team_avg_kd,opp_avg_elo,opp_avg_kd,opp_avg_wr,elo_gap,kills,deaths,assists
1-85267fa4-9dcd-4598-9a7e-6569b70c87d2,de_nuke,2869.0,1.1,49.0,53.0,2057.0,10.0,2852.8,1.086,2676.4,1.086,51.0,192.6,10.0,14.0,5.0
1-85267fa4-9dcd-4598-9a7e-6569b70c87d2,de_nuke,2689.0,1.14,40.0,52.0,2389.0,10.0,2852.8,1.086,2676.4,1.086,51.0,12.6,19.0,13.0,5.0
1-85267fa4-9dcd-4598-9a7e-6569b70c87d2,de_nuke,2709.0,1.1,50.0,51.0,3275.0,10.0,2852.8,1.086,2676.4,1.086,51.0,32.6,23.0,13.0,6.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2826.0,1.18,53.0,52.0,2198.0,10.0,2629.4,1.118,2717.2,1.072,51.6,108.8,13.0,17.0,4.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2702.0,1.09,47.0,51.0,5387.0,10.0,2629.4,1.118,2717.2,1.072,51.6,-15.2,13.0,15.0,3.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2194.0,1.14,46.0,52.0,2122.0,10.0,2629.4,1.118,2717.2,1.072,51.6,-523.2,13.0,16.0,3.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2838.0,1.12,48.0,50.0,4129.0,10.0,2629.4,1.118,2717.2,1.072,51.6,120.8,9.0,17.0,2.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2587.0,1.06,48.0,51.0,5590.0,10.0,2629.4,1.118,2717.2,1.072,51.6,-130.2,5.0,17.0,1.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,3222.0,1.04,42.0,52.0,6488.0,10.0,2717.2,1.072,2629.4,1.118,51.2,592.6,24.0,11.0,10.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2097.0,0.98,56.0,50.0,4623.0,10.0,2717.2,1.072,2629.4,1.118,51.2,-532.4,3.0,12.0,6.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2869.0,1.1,49.0,53.0,2057.0,10.0,2717.2,1.072,2629.4,1.118,51.2,239.6,8.0,12.0,8.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2689.0,1.14,40.0,52.0,2389.0,10.0,2717.2,1.072,2629.4,1.118,51.2,59.6,24.0,9.0,6.0
1-96ec0c2c-4af5-4e45-a9b8-4ba16050eb9c,de_anubis,2709.0,1.1,50.0,51.0,3275.0,10.0,2717.2,1.072,2629.4,1.118,51.2,79.6,23.0,10.0,7.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2680.0,1.21,52.0,52.0,3887.0,10.0,2709.8,1.176,2742.6,1.194,52.4,-62.6,22.0,27.0,6.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2682.0,1.12,47.0,52.0,2534.0,10.0,2709.8,1.176,2742.6,1.194,52.4,-60.6,22.0,28.0,7.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2689.0,1.14,40.0,52.0,2389.0,10.0,2709.8,1.176,2742.6,1.194,52.4,-53.6,17.0,26.0,10.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2798.0,1.17,40.0,54.0,5247.0,10.0,2709.8,1.176,2742.6,1.194,52.4,55.4,33.0,24.0,6.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2700.0,1.24,43.0,53.0,2914.0,10.0,2709.8,1.176,2742.6,1.194,52.4,-42.6,30.0,26.0,11.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2900.0,1.12,46.0,52.0,9449.0,10.0,2742.6,1.194,2709.8,1.176,52.6,190.2,27.0,28.0,7.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2765.0,1.13,55.0,55.0,10319.0,10.0,2742.6,1.194,2709.8,1.176,52.6,55.2,38.0,25.0,5.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2697.0,1.22,45.0,52.0,2093.0,10.0,2742.6,1.194,2709.8,1.176,52.6,-12.8,23.0,24.0,8.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2682.0,1.36,44.0,51.0,3358.0,10.0,2742.6,1.194,2709.8,1.176,52.6,-27.8,23.0,22.0,11.0
1-7a6a3cab-0bf9-46af-a68c-833635b1cb9c,de_dust2,2669.0,1.14,53.0,52.0,3845.0,10.0,2742.6,1.194,2709.8,1.176,52.6,-40.8,20.0,26.0,14.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2726.0,1.12,57.0,52.0,1107.0,10.0,2707.8,1.192,2538.2,1.162,51.6,187.8,14.0,12.0,2.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2860.0,1.11,44.0,52.0,1286.0,10.0,2707.8,1.192,2538.2,1.162,51.6,321.8,11.0,13.0,6.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2709.0,1.1,50.0,51.0,3275.0,10.0,2707.8,1.192,2538.2,1.162,51.6,170.8,23.0,8.0,6.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2358.0,1.2,44.0,51.0,1068.0,10.0,2707.8,1.192,2538.2,1.162,51.6,-180.2,10.0,14.0,5.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2886.0,1.43,52.0,55.0,1095.0,10.0,2707.8,1.192,2538.2,1.162,51.6,347.8,16.0,8.0,2.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2454.0,1.23,44.0,51.0,1193.0,10.0,2538.2,1.162,2707.8,1.192,52.2,-253.8,8.0,15.0,5.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2553.0,1.21,53.0,55.0,832.0,10.0,2538.2,1.162,2707.8,1.192,52.2,-154.8,17.0,16.0,4.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2458.0,1.2,47.0,50.0,2006.0,10.0,2538.2,1.162,2707.8,1.192,52.2,-249.8,11.0,12.0,2.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2745.0,1.13,48.0,51.0,2460.0,10.0,2538.2,1.162,2707.8,1.192,52.2,37.2,8.0,14.0,5.0
1-5f6464fb-ff32-4ffc-819d-e9c719c3f593,de_anubis,2481.0,1.04,54.0,51.0,1032.0,10.0,2538.2,1.162,2707.8,1.192,52.2,-226.8,11.0,17.0,2.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2161.0,1.07,41.0,50.0,2931.0,10.0,2036.0,1.112,2140.8,1.226,52.4,20.2,19.0,14.0,0.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,1925.0,1.07,43.0,51.0,1940.0,9.0,2036.0,1.112,2140.8,1.226,52.4,-215.8,13.0,20.0,4.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2169.0,1.09,46.0,54.0,5689.0,10.0,2036.0,1.112,2140.8,1.226,52.4,28.2,8.0,16.0,4.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,1765.0,1.12,47.0,51.0,1366.0,9.0,2036.0,1.112,2140.8,1.226,52.4,-375.8,16.0,18.0,4.0
1-21ea900f-bb12-479c-a8cf-e7c7b1acc40a,de_nuke,2160.0,1.21,53.0,50.0,1022.0,10.0,2036.0,1.112,2140.8,1.226,52.4,19.2,22.0,18.0,8.0
